key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,81207,9.4415,8794.5235,54008.3516
highway,41207,4.7909,-68.5505,91.3177
waterway,3643,0.4236,263.2104,2109.5297
source,3498,0.4067,-89.3158,-35.0046
surface,2934,0.3411,-48.7242,211.9276
layer,2731,0.3175,-11.187,440.2791
name,2165,0.2517,-76.1459,45.1126
bridge,2085,0.2424,-23.7381,363.9265
natural,1639,0.1906,957.4194,6332.6344
place,1207,0.1403,-32.5698,310.2002
power,1164,0.1353,-22.9649,368.63
water,1058,0.123,1116.092,7297.8927
landuse,1054,0.1225,32.5786,706.5199
intermittent,905,0.1052,1867.3913,11868.2971
usage,778,0.0905,57.4899,858.0634
maxspeed,768,0.0893,-84.6492,-6.616
name:en,749,0.0871,-79.9034,22.2543
lanes,656,0.0763,-82.427,6.9024
barrier,592,0.0688,124.2424,1264.1414
tunnel,510,0.0593,77.0833,977.2569
ref,415,0.0482,-80.4798,18.748
name:ur,401,0.0466,-85.6221,-12.5344
service,341,0.0396,-36.7347,284.8639
railway,314,0.0365,-75.1779,51.0013
ref:ur,251,0.0292,-57.0205,161.4583
haghway,213,0.0248,21200.0,129475.0
oneway,213,0.0248,-93.761,-62.046
man_made,208,0.0242,160.0,1481.6667
electrified,206,0.024,-67.4566,97.9726
gauge,206,0.024,-67.6101,97.0388
passenger_lines,205,0.0238,-48.1013,215.7173
name:ar,193,0.0224,-87.4838,-23.8597
width,190,0.0221,-27.7567,339.4804
ford,182,0.0212,2.8249,525.5179
name:sd,163,0.019,-70.7361,78.0221
irrigation,160,0.0186,15900.0,97233.3333
lit,154,0.0179,2100.0,13283.3333
noname,136,0.0158,13500.0,82633.3333
alt_name:ur,127,0.0148,-60.0629,142.9507
ref:ar,127,0.0148,-59.8101,144.4884
fixme,115,0.0134,784.6154,5281.4103
embankment,88,0.0102,-56.4356,165.0165
source:imagery,87,0.0101,-81.7992,10.7218
source:map,73,0.0085,-83.1797,2.3233
noref,68,0.0079,6700.0,41266.6667
source:geometry,59,0.0069,-36.5591,285.9319
note,48,0.0056,-34.2466,300.0
basin,40,0.0047,3900.0,24233.3333
description,35,0.0041,-83.3333,1.3889
amenity,34,0.004,-96.1451,-76.5495
construction,30,0.0035,3.4483,529.3103
maxheight,28,0.0033,-73.3333,62.2222
frequency,27,0.0031,68.75,926.5625
voltage,27,0.0031,-72.7273,65.9091
wikidata,27,0.0031,-87.4419,-23.6047
noexit,26,0.003,-23.5294,365.1961
wikipedia,26,0.003,-81.5603,12.1749
is_in:country,25,0.0029,177.7778,1589.8148
is_in:district,25,0.0029,400.0,2941.6667
is_in:province,25,0.0029,400.0,2941.6667
OBJECTID,23,0.0027,360.0,2698.3333
_crc,23,0.0027,475.0,3397.9167
source:name,22,0.0026,144.4444,1387.037
access,20,0.0023,-98.2773,-89.5205
addr:city,20,0.0023,-97.5217,-84.9236
area,20,0.0023,-37.5,280.2083
building:levels,18,0.0021,-33.3333,305.5556
alt_name:en,16,0.0019,-65.9574,107.0922
phases,16,0.0019,1500.0,9633.3333
seasonal,16,0.0019,1500.0,9633.3333
addr:street,14,0.0016,-98.1506,-88.7494
aeroway,14,0.0016,-92.2222,-52.6852
name:ps,14,0.0016,-91.716,-49.6055
abandoned:building,13,0.0015,1200.0,7808.3333
religion,11,0.0013,-91.7293,-49.6867
planned,10,0.0012,900.0,5983.3333
public_transport,10,0.0012,-85.0746,-9.204
tower:type,10,0.0012,400.0,2941.6667
addr:postcode,9,0.001,-87.5,-23.9583
location,8,0.0009,60.0,873.3333
name:pnb,8,0.0009,-97.7901,-86.5562
GNS:date_modified,7,0.0008,40.0,751.6667
covered,7,0.0008,-72.0,70.3333
junction,7,0.0008,-90.1408,-40.0235
level,7,0.0008,-89.3939,-35.4798
line,7,0.0008,600.0,4158.3333
transformer,7,0.0008,600.0,4158.3333
voltage:secondary,7,0.0008,600.0,4158.3333
circuits,6,0.0007,500.0,3550.0
material,6,0.0007,-75.0,52.0833
operator,6,0.0007,-98.0707,-88.2637
reservoir_type,6,0.0007,500.0,3550.0
source:otherimagery,6,0.0007,-87.7551,-25.5102
