key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,51512,7.0301,-60.6857,-60.6857
building,37345,5.0967,3990.3614,3990.3614
name,8655,1.1812,-4.6386,-4.6386
landuse,6801,0.9282,755.4717,755.4717
surface,6385,0.8714,11.5869,11.5869
waterway,5391,0.7357,437.4875,437.4875
power,4966,0.6777,228.6565,228.6565
source,4344,0.5928,-86.7318,-86.7318
layer,3771,0.5146,22.6341,22.6341
place,3539,0.483,97.7095,97.7095
bridge,2270,0.3098,-16.9715,-16.9715
name:en,2255,0.3078,-39.4956,-39.4956
oneway,2110,0.288,-38.1957,-38.1957
maxspeed,2099,0.2865,-58.0452,-58.0452
ref,2074,0.283,-2.4459,-2.4459
name:ur,1808,0.2467,-35.1739,-35.1739
addr:city,1612,0.22,99.7522,99.7522
addr:street,1531,0.2089,102.2457,102.2457
generator:source,1511,0.2062,914.094,914.094
generator:method,1510,0.2061,913.4228,913.4228
generator:output:electricity,1492,0.2036,958.156,958.156
generator:type,1491,0.2035,907.4324,907.4324
tunnel,1458,0.199,406.25,406.25
amenity,1437,0.1961,62.9252,62.9252
natural,1415,0.1931,812.9032,812.9032
addr:city:en,1410,0.1924,140900.0,140900.0
addr:city:fr,1410,0.1924,140900.0,140900.0
addr:city:pa,1410,0.1924,140900.0,140900.0
addr:city:ur,1410,0.1924,140900.0,140900.0
lanes,1353,0.1847,-63.7557,-63.7557
water,854,0.1165,881.6092,881.6092
access,769,0.1049,-33.764,-33.764
manufacturer,750,0.1024,575.6757,575.6757
model,730,0.0996,748.8372,748.8372
name:ar,712,0.0972,-53.8262,-53.8262
barrier,703,0.0959,166.2879,166.2879
ref:ur,538,0.0734,-7.8767,-7.8767
name:sd,408,0.0557,-26.7504,-26.7504
service,395,0.0539,-26.7161,-26.7161
name:fr,393,0.0536,1865.0,1865.0
boundary,392,0.0535,503.0769,503.0769
name:pa,366,0.0499,207.563,207.563
operator,328,0.0448,5.4662,5.4662
railway,324,0.0442,-74.3874,-74.3874
usage,324,0.0442,-34.413,-34.413
name:pnb,240,0.0328,-33.7017,-33.7017
foot,235,0.0321,-41.5423,-41.5423
shop,229,0.0313,252.3077,252.3077
bicycle,217,0.0296,-47.4576,-47.4576
name:fa,206,0.0281,-29.6928,-29.6928
religion,205,0.028,54.1353,54.1353
voltage,202,0.0276,104.0404,104.0404
source:imagery,191,0.0261,-60.0418,-60.0418
alt_name:en,187,0.0255,297.8723,297.8723
description,179,0.0244,-14.7619,-14.7619
horse,178,0.0243,-53.2808,-53.2808
wikidata,178,0.0243,-17.2093,-17.2093
tracktype,177,0.0242,4325.0,4325.0
ford,171,0.0233,-3.3898,-3.3898
source:image,171,0.0233,11.039,11.039
motor_vehicle,170,0.0232,-52.9086,-52.9086
source:map,159,0.0217,-63.3641,-63.3641
width,159,0.0217,-39.5437,-39.5437
wikipedia,157,0.0214,11.3475,11.3475
name:es,148,0.0202,-16.8539,-16.8539
intermittent,147,0.0201,219.5652,219.5652
embankment,146,0.0199,-27.7228,-27.7228
name:ru,146,0.0199,197.9592,197.9592
man_made,143,0.0195,78.75,78.75
alt_name:ur,142,0.0194,-55.3459,-55.3459
electrified,141,0.0192,-77.7251,-77.7251
gauge,140,0.0191,-77.9874,-77.9874
ref:ar,138,0.0188,-56.3291,-56.3291
name:de,131,0.0179,61.7284,61.7284
alt_name,128,0.0175,212.1951,212.1951
population,128,0.0175,-4.4776,-4.4776
name:ps,125,0.0171,-26.0355,-26.0355
construction,120,0.0164,313.7931,313.7931
admin_level,118,0.0161,90.3226,90.3226
brand,118,0.0161,-67.1309,-67.1309
office,112,0.0153,143.4783,143.4783
brand:wikidata,109,0.0149,-68.314,-68.314
passenger_lines,106,0.0145,-73.1646,-73.1646
leisure,103,0.0141,14.4444,14.4444
canal,100,0.0136,3233.3333,3233.3333
brand:wikipedia,99,0.0135,-70.9677,-70.9677
name:hi,97,0.0132,120.4545,120.4545
addr:place,94,0.0128,9300.0,9300.0
brand:ur,93,0.0127,-71.3846,-71.3846
denomination,93,0.0127,365.0,365.0
addr:postcode,91,0.0124,26.3889,26.3889
tower:type,89,0.0121,4350.0,4350.0
name:sr,88,0.012,125.641,125.641
name:ks,87,0.0119,-51.1236,-51.1236
addr:housenumber,84,0.0115,29.2308,29.2308
brand:wikipedia:ur,82,0.0112,-72.6667,-72.6667
name:azb,82,0.0112,70.8333,70.8333
name:skr,76,0.0104,105.4054,105.4054
atm,74,0.0101,-44.7761,-44.7761
name:ja,74,0.0101,105.5556,105.5556
brand:ar,72,0.0098,-71.5415,-71.5415
public_transport,70,0.0096,4.4776,4.4776
divider,69,0.0094,-60.1156,-60.1156
smoothness,69,0.0094,-60.1156,-60.1156
cables,68,0.0093,300.0,300.0
healthcare,68,0.0093,172.0,172.0
sidewalk,68,0.0093,-61.5819,-61.5819
phone,67,0.0091,31.3725,31.3725
frequency,66,0.009,312.5,312.5
name:etymology:wikidata,65,0.0089,-15.5844,-15.5844
operator:ur,64,0.0087,-53.2847,-53.2847
