key,value,count,percent_of_total_changes_for_key
amenity,school,9507,14.5701
amenity,hospital,8585,13.1571
amenity,parking,5530,8.4751
amenity,drinking_water,5348,8.1962
amenity,place_of_worship,4020,6.1609
amenity,restaurant,3230,4.9502
amenity,toilets,2624,4.0215
amenity,parking_space,1829,2.8031
amenity,bench,1640,2.5134
amenity,cafe,1270,1.9464
amenity,bicycle_parking,1258,1.928
amenity,pharmacy,1169,1.7916
amenity,bank,1116,1.7103
amenity,fuel,1115,1.7088
amenity,recycling,951,1.4575
amenity,bar,950,1.4559
amenity,shelter,924,1.4161
amenity,waste_basket,833,1.2766
amenity,fast_food,824,1.2628
amenity,shower,800,1.2261
amenity,kindergarten,744,1.1402
amenity,college,663,1.0161
amenity,police,583,0.8935
amenity,library,484,0.7418
amenity,university,418,0.6406
building,yes,2316991,93.1905
building,house,89707,3.6081
building,residential,30288,1.2182
building,construction,14340,0.5768
building,collapsed,7290,0.2932
building,commercial,3796,0.1527
building,apartments,2921,0.1175
building,school,2256,0.0907
building,industrial,2120,0.0853
building,residentiel1,1742,0.0701
building,church,1298,0.0522
building,tent,891,0.0358
building,roof,814,0.0327
building,greenhouse,735,0.0296
building,shelter,632,0.0254
building,retail,615,0.0247
building,non_waterproof_shelter,593,0.0239
building,building_concrete,484,0.0195
building,hospital,471,0.0189
building,detached,467,0.0188
building,hut,443,0.0178
building,building_sheet_metal,432,0.0174
building,shed,431,0.0173
building,collapse,371,0.0149
building,office,350,0.0141
emergency,yes,206,24.0093
emergency,fire_hydrant,205,23.8928
emergency,no,178,20.7459
emergency,defibrillator,91,10.6061
emergency,assembly_point,54,6.2937
emergency,emergency_ward_entrance,42,4.8951
emergency,ambulance_station,41,4.7786
emergency,landing_site,8,0.9324
emergency,phone,7,0.8159
emergency,fire_extinguisher,6,0.6993
emergency,designated,5,0.5828
emergency,fire_hose,3,0.3497
emergency,water_tank,3,0.3497
emergency,helipad,2,0.2331
emergency,hostel,2,0.2331
emergency,lifeguard,2,0.2331
emergency,disaster_response,1,0.1166
emergency,emergency_ward,1,0.1166
emergency,life_ring,1,0.1166
highway,path,130441,19.6257
highway,residential,107829,16.2236
highway,unclassified,94930,14.2829
highway,track,90193,13.5701
highway,road,40735,6.1289
highway,footway,39687,5.9712
highway,tertiary,37347,5.6191
highway,service,30533,4.5939
highway,secondary,19444,2.9255
highway,primary,14791,2.2254
highway,crossing,13787,2.0743
highway,cycleway,8243,1.2402
highway,bus_stop,7978,1.2003
highway,trunk,5150,0.7749
highway,platform,5046,0.7592
highway,pedestrian,3396,0.511
highway,steps,1854,0.2789
highway,traffic_signals,1620,0.2437
highway,living_street,1275,0.1918
highway,give_way,1268,0.1908
highway,street_lamp,984,0.148
highway,trunk_link,958,0.1441
highway,primary_link,848,0.1276
highway,motorway_link,810,0.1219
highway,ford,705,0.1061
landuse,residential,74276,55.0242
landuse,brownfield,24472,18.129
landuse,farmland,15017,11.1247
landuse,forest,4244,3.144
landuse,grass,3576,2.6491
landuse,industrial,1918,1.4209
landuse,farm,1662,1.2312
landuse,farmyard,1361,1.0082
landuse,basin,1073,0.7949
landuse,orchard,1067,0.7904
landuse,reservoir,976,0.723
landuse,cemetery,648,0.48
landuse,meadow,615,0.4556
landuse,construction,548,0.406
