period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.6667,0.0126653,0.9618,0.9641,2.7800758110839064e-05
pre,post,0.6111,0.024741,0.9722,0.9721,1.1679455406836727e-05
imm,post,0.8333,0.0008543,0.9969,0.9966,7.552875175971291e-09
