key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,place_of_worship,731,20.2325,73000.0,73000.0
amenity,school,470,13.0086,46900.0,46900.0
amenity,restaurant,305,8.4417,30400.0,30400.0
amenity,bank,195,5.3972,19400.0,19400.0
amenity,drinking_water,180,4.982,17900.0,17900.0
amenity,hospital,155,4.2901,15400.0,15400.0
amenity,cafe,146,4.041,14500.0,14500.0
amenity,college,96,2.6571,9500.0,9500.0
amenity,pharmacy,88,2.4356,8700.0,8700.0
amenity,public_building,78,2.1589,7700.0,7700.0
amenity,clinic,65,1.7991,6400.0,6400.0
amenity,fast_food,64,1.7714,6300.0,6300.0
amenity,fuel,59,1.633,5800.0,5800.0
amenity,shelter,58,1.6053,5700.0,5700.0
amenity,community_centre,51,1.4116,5000.0,5000.0
amenity,toilets,46,1.2732,4500.0,4500.0
amenity,police,45,1.2455,4400.0,4400.0
amenity,parking,38,1.0518,3700.0,3700.0
amenity,atm,36,0.9964,3500.0,3500.0
amenity,embassy,34,0.941,3300.0,3300.0
amenity,shop,34,0.941,3300.0,3300.0
amenity,bench,32,0.8857,3100.0,3100.0
amenity,bus_station,32,0.8857,3100.0,3100.0
amenity,waste_basket,32,0.8857,3100.0,3100.0
amenity,marketplace,29,0.8027,2800.0,2800.0
amenity,library,24,0.6643,2300.0,2300.0
amenity,kindergarten,16,0.4428,1500.0,1500.0
amenity,cinema,15,0.4152,1400.0,1400.0
amenity,dentist,14,0.3875,1300.0,1300.0
amenity,bureau_de_change,13,0.3598,1200.0,1200.0
amenity,post_office,13,0.3598,1200.0,1200.0
amenity,office,11,0.3045,1000.0,1000.0
amenity,parking_space,11,0.3045,1000.0,1000.0
amenity,taxi,10,0.2768,900.0,900.0
amenity,veterinary,10,0.2768,900.0,900.0
amenity,agrocentre,9,0.2491,800.0,800.0
amenity,arts_centre,9,0.2491,800.0,800.0
amenity,fountain,9,0.2491,800.0,800.0
amenity,university,9,0.2491,800.0,800.0
amenity,immigration border,8,0.2214,700.0,700.0
amenity,meat shop,8,0.2214,700.0,700.0
amenity,bar,7,0.1937,600.0,600.0
amenity,doctors,7,0.1937,600.0,600.0
amenity,food_collection,7,0.1937,600.0,600.0
