start_date,creates,edits,deletes,total
2023-07-12,3241,1738,325,5304
2023-07-13,2865,807,248,3920
2023-07-14,1450,1222,235,2907
2023-07-15,1620,849,581,3050
2023-07-16,1253,1254,351,2858
2023-07-17,2788,908,361,4057
2023-07-18,3700,1042,158,4900
2023-07-19,2032,1696,474,4202
2023-07-20,2314,711,223,3248
2023-07-21,2534,2116,204,4854
2023-07-22,553,801,280,1634
2023-07-23,830,972,133,1935
2023-07-24,2558,2902,614,6074
2023-07-25,6674,4794,620,12088
2023-07-26,6078,4225,796,11099
2023-07-27,3084,3065,221,6370
2023-07-28,1520,1286,294,3100
2023-07-29,229,63,26,318
2023-07-30,0,0,0,0
total,371405,287708,68462,727575
