start_date,creates,edits,deletes,total
2022-10-22,3087,879,92,4058
2022-10-23,1031,943,125,2099
2022-10-24,707,409,161,1277
2022-10-25,1772,1364,179,3315
2022-10-26,1007,248,63,1318
2022-10-27,1651,206,77,1934
2022-10-28,329,627,44,1000
2022-10-29,223,252,9,484
2022-10-30,1581,1753,592,3926
2022-10-31,772,1430,292,2494
2022-11-01,1619,3039,357,5015
2022-11-02,1718,1047,111,2876
2022-11-03,1114,1950,230,3294
2022-11-04,779,751,68,1598
2022-11-05,501,308,17,826
2022-11-06,605,467,150,1222
2022-11-07,670,830,114,1614
2022-11-08,1757,1231,207,3195
2022-11-09,512,816,123,1451
2022-11-10,951,898,51,1900
2022-11-11,3000,709,113,3822
2022-11-12,635,553,24,1212
2022-11-13,3467,1916,122,5505
2022-11-14,1455,1192,76,2723
2022-11-15,1467,1129,160,2756
2022-11-16,769,1347,94,2210
2022-11-17,955,953,121,2029
2022-11-18,973,1323,78,2374
2022-11-19,1637,655,225,2517
2022-11-20,1724,2432,431,4587
2022-11-21,2075,2354,312,4741
2022-11-22,283,659,23,965
2022-11-23,375,516,45,936
2022-11-24,724,502,78,1304
2022-11-25,1565,1823,194,3582
2022-11-26,634,541,60,1235
2022-11-27,236,580,184,1000
2022-11-28,1750,1441,137,3328
2022-11-29,349,1132,424,1905
2022-11-30,967,1136,76,2179
2022-12-01,2428,2875,157,5460
2022-12-02,870,1030,39,1939
2022-12-03,649,1113,106,1868
2022-12-04,172,1125,83,1380
2022-12-05,163,199,47,409
2022-12-06,717,322,109,1148
2022-12-07,726,1179,290,2195
2022-12-08,715,486,139,1340
2022-12-09,587,659,222,1468
2022-12-10,1008,913,98,2019
2022-12-11,1073,696,117,1886
2022-12-12,287,979,54,1320
2022-12-13,1130,1107,273,2510
2022-12-14,1131,941,266,2338
2022-12-15,926,524,241,1691
2022-12-16,1115,718,133,1966
2022-12-17,481,510,6,997
2022-12-18,914,1153,322,2389
2022-12-19,646,568,112,1326
2022-12-20,1539,928,360,2827
2022-12-21,1656,373,197,2226
2022-12-22,1149,1096,277,2522
2022-12-23,1923,1154,395,3472
2022-12-24,297,792,379,1468
2022-12-25,1109,1074,297,2480
2022-12-26,1701,2602,510,4813
2022-12-27,2962,1627,295,4884
2022-12-28,2301,711,203,3215
2022-12-29,1209,1642,192,3043
2022-12-30,2366,739,97,3202
2022-12-31,542,445,89,1076
2023-01-01,517,1079,125,1721
2023-01-02,693,549,119,1361
2023-01-03,336,476,30,842
2023-01-04,724,355,256,1335
2023-01-05,542,617,101,1260
2023-01-06,776,1527,67,2370
2023-01-07,588,441,219,1248
2023-01-08,2049,2684,1049,5782
2023-01-09,627,1602,236,2465
2023-01-10,1113,1395,393,2901
2023-01-11,636,544,93,1273
2023-01-12,891,1084,244,2219
2023-01-13,241,410,61,712
2023-01-14,1019,761,230,2010
2023-01-15,2099,1145,310,3554
2023-01-16,2453,1295,842,4590
2023-01-17,2219,833,119,3171
2023-01-18,4279,1482,653,6414
2023-01-19,1942,979,578,3499
2023-01-20,2409,288,111,2808
2023-01-21,577,899,401,1877
2023-01-22,667,568,199,1434
2023-01-23,1290,491,52,1833
2023-01-24,146,989,44,1179
2023-01-25,651,869,249,1769
2023-01-26,322,419,321,1062
2023-01-27,1420,1004,102,2526
2023-01-28,670,1068,149,1887
2023-01-29,1484,2300,412,4196
2023-01-30,781,648,137,1566
2023-01-31,165,504,13,682
