start_date,creates,edits,deletes,total
2022-05-02,1866,2320,123,4309
2022-05-03,232,413,19,664
2022-05-04,1068,1763,300,3131
2022-05-05,850,3066,470,4386
2022-05-06,911,630,99,1640
2022-05-07,504,680,119,1303
2022-05-08,171,315,2,488
2022-05-09,681,1064,335,2080
2022-05-10,535,500,223,1258
2022-05-11,826,808,109,1743
2022-05-12,123,167,3,293
2022-05-13,442,507,52,1001
2022-05-14,1368,452,20,1840
2022-05-15,481,348,33,862
2022-05-16,1028,571,51,1650
2022-05-17,351,149,7,507
2022-05-18,298,403,100,801
2022-05-19,408,973,250,1631
2022-05-20,232,373,36,641
2022-05-21,188,286,65,539
2022-05-22,318,657,302,1277
2022-05-23,264,752,137,1153
2022-05-24,369,329,635,1333
2022-05-25,1116,631,213,1960
2022-05-26,697,541,244,1482
2022-05-27,854,422,171,1447
2022-05-28,1002,989,47,2038
2022-05-29,739,3156,107,4002
2022-05-30,744,1961,86,2791
2022-05-31,667,949,69,1685
2022-06-01,549,313,177,1039
2022-06-02,103,325,17,445
2022-06-03,1022,2255,384,3661
2022-06-04,210,119,48,377
2022-06-05,1745,324,104,2173
2022-06-06,93,167,3,263
2022-06-07,657,610,33,1300
2022-06-08,1835,1023,67,2925
2022-06-09,935,803,49,1787
2022-06-10,1531,1777,19,3327
2022-06-11,719,776,7,1502
2022-06-12,226,117,6,349
2022-06-13,2133,1987,9,4129
2022-06-14,230,343,41,614
2022-06-15,403,184,16,603
2022-06-16,950,520,122,1592
2022-06-17,1337,612,444,2393
2022-06-18,221,84,3,308
2022-06-19,149,211,14,374
2022-06-20,496,197,25,718
2022-06-21,632,214,5,851
2022-06-22,643,483,10,1136
2022-06-23,241,585,51,877
2022-06-24,213,67,2,282
2022-06-25,16,64,1,81
2022-06-26,240,489,33,762
2022-06-27,437,369,58,864
2022-06-28,307,236,31,574
2022-06-29,858,447,27,1332
2022-06-30,102,238,33,373
2022-07-01,213,415,10,638
2022-07-02,288,218,99,605
2022-07-03,142,173,92,407
2022-07-04,397,417,57,871
2022-07-05,1780,195,94,2069
2022-07-06,432,263,59,754
2022-07-07,399,375,38,812
2022-07-08,766,378,226,1370
2022-07-09,24,100,3,127
2022-07-10,470,566,125,1161
2022-07-11,758,645,94,1497
2022-07-12,548,541,45,1134
2022-07-13,1692,552,129,2373
2022-07-14,676,430,174,1280
2022-07-15,1033,540,88,1661
2022-07-16,754,522,340,1616
2022-07-17,531,181,45,757
2022-07-18,776,432,45,1253
2022-07-19,651,362,69,1082
2022-07-20,374,239,13,626
2022-07-21,218,273,175,666
2022-07-22,684,503,23,1210
2022-07-23,250,76,22,348
2022-07-24,296,131,12,439
2022-07-25,462,511,100,1073
2022-07-26,258,209,24,491
2022-07-27,541,232,31,804
2022-07-28,630,343,188,1161
2022-07-29,1407,884,120,2411
2022-07-30,614,187,30,831
2022-07-31,311,478,33,822
2022-08-01,681,467,252,1400
2022-08-02,778,304,45,1127
2022-08-03,1110,433,107,1650
2022-08-04,1402,530,75,2007
2022-08-05,829,521,147,1497
2022-08-06,346,332,10,688
2022-08-07,116,154,50,320
2022-08-08,418,97,34,549
2022-08-09,562,416,108,1086
2022-08-10,1121,696,138,1955
2022-08-11,1329,430,139,1898
2022-08-12,150,235,40,425
2022-08-13,104,149,22,275
2022-08-14,584,387,42,1013
2022-08-15,1082,746,179,2007
2022-08-16,397,730,100,1227
2022-08-17,416,271,17,704
2022-08-18,487,332,80,899
2022-08-19,239,377,32,648
2022-08-20,527,203,8,738
2022-08-21,1354,1395,128,2877
2022-08-22,1054,563,108,1725
2022-08-23,521,419,37,977
2022-08-24,1159,753,120,2032
2022-08-25,634,298,23,955
2022-08-26,662,739,179,1580
2022-08-27,944,572,27,1543
2022-08-28,355,819,15,1189
2022-08-29,284,602,193,1079
2022-08-30,422,556,111,1089
2022-08-31,1187,986,112,2285
2022-09-01,584,558,14,1156
2022-09-02,561,418,57,1036
2022-09-03,1161,1478,104,2743
2022-09-04,219,754,79,1052
2022-09-05,819,551,60,1430
2022-09-06,253,584,20,857
2022-09-07,454,443,28,925
2022-09-08,763,587,84,1434
2022-09-09,1200,1076,67,2343
2022-09-10,707,789,73,1569
2022-09-11,224,359,67,650
2022-09-12,259,469,111,839
2022-09-13,1591,547,109,2247
2022-09-14,549,963,45,1557
2022-09-15,997,550,31,1578
2022-09-16,761,704,129,1594
2022-09-17,1152,670,114,1936
2022-09-18,1364,1155,92,2611
2022-09-19,218,266,20,504
2022-09-20,607,3357,69,4033
2022-09-21,671,3589,88,4348
2022-09-22,1324,1056,89,2469
2022-09-23,350,541,60,951
2022-09-24,1183,1021,120,2324
2022-09-25,1013,1182,288,2483
2022-09-26,1160,232,68,1460
2022-09-27,1066,646,224,1936
2022-09-28,721,445,203,1369
2022-09-29,1450,1876,285,3611
2022-09-30,1080,433,128,1641
2022-10-01,562,544,41,1147
2022-10-02,229,634,29,892
