key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,205,4.4623,0.0,0.0
leisure,146,3.1781,0.0,0.0
name,112,2.438,0.0,0.0
source,81,1.7632,0.0,0.0
waterway,80,1.7414,0.0,0.0
intermittent,69,1.502,0.0,0.0
name:en,58,1.2625,0.0,0.0
int_name,46,1.0013,0.0,0.0
natural,43,0.936,0.0,0.0
oneway,40,0.8707,0.0,0.0
name:el,37,0.8054,0.0,0.0
landuse,35,0.7619,0.0,0.0
building,31,0.6748,0.0,0.0
name:fr,28,0.6095,0.0,0.0
ref,24,0.5224,0.0,0.0
lanes,22,0.4789,0.0,0.0
admin_level,21,0.4571,0.0,0.0
amenity,21,0.4571,0.0,0.0
boundary,21,0.4571,0.0,0.0
lit,21,0.4571,0.0,0.0
old_ref,20,0.4354,0.0,0.0
bicycle,19,0.4136,0.0,0.0
foot,19,0.4136,0.0,0.0
horse,19,0.4136,0.0,0.0
int_ref,18,0.3918,0.0,0.0
toll,18,0.3918,0.0,0.0
addr:postcode,16,0.3483,0.0,0.0
place,12,0.2612,0.0,0.0
tracktype,12,0.2612,0.0,0.0
tunnel,12,0.2612,0.0,0.0
name:de,11,0.2394,0.0,0.0
layer,10,0.2177,0.0,0.0
area,9,0.1959,0.0,0.0
religion,9,0.1959,0.0,0.0
bridge,8,0.1741,0.0,0.0
man_made,8,0.1741,0.0,0.0
reg_ref,8,0.1741,0.0,0.0
source:reg_ref,8,0.1741,0.0,0.0
surface,8,0.1741,0.0,0.0
junction,7,0.1524,0.0,0.0
sport,7,0.1524,0.0,0.0
population,6,0.1306,0.0,0.0
wikidata,6,0.1306,0.0,0.0
wikipedia,6,0.1306,0.0,0.0
addr:street,5,0.1088,0.0,0.0
opening_hours,5,0.1088,0.0,0.0
railway,5,0.1088,0.0,0.0
barrier,4,0.0871,0.0,0.0
denomination,4,0.0871,0.0,0.0
maxspeed,4,0.0871,0.0,0.0
name:ru,4,0.0871,0.0,0.0
addr:city,3,0.0653,0.0,0.0
addr:housenumber,3,0.0653,0.0,0.0
cuisine,3,0.0653,0.0,0.0
electrified,3,0.0653,0.0,0.0
gauge,3,0.0653,0.0,0.0
historic,3,0.0653,0.0,0.0
internet_access,3,0.0653,0.0,0.0
smoothness,3,0.0653,0.0,0.0
tourism,3,0.0653,0.0,0.0
converted_by,2,0.0435,0.0,0.0
event,2,0.0435,0.0,0.0
fee,2,0.0435,0.0,0.0
frequency,2,0.0435,0.0,0.0
parking,2,0.0435,0.0,0.0
passenger_lines,2,0.0435,0.0,0.0
phone,2,0.0435,0.0,0.0
public_transport,2,0.0435,0.0,0.0
refugee,2,0.0435,0.0,0.0
train,2,0.0435,0.0,0.0
usage,2,0.0435,0.0,0.0
voltage,2,0.0435,0.0,0.0
addr:country,1,0.0218,0.0,0.0
aircraft:type,1,0.0218,0.0,0.0
authentication:none,1,0.0218,0.0,0.0
capacity,1,0.0218,0.0,0.0
car,1,0.0218,0.0,0.0
contact:email,1,0.0218,0.0,0.0
contact:fax,1,0.0218,0.0,0.0
contact:phone,1,0.0218,0.0,0.0
contact:website,1,0.0218,0.0,0.0
disused:railway,1,0.0218,0.0,0.0
historic:civilization,1,0.0218,0.0,0.0
leaf_type,1,0.0218,0.0,0.0
maxheight,1,0.0218,0.0,0.0
motor_vehicle,1,0.0218,0.0,0.0
open_air,1,0.0218,0.0,0.0
parking:fee,1,0.0218,0.0,0.0
recycling:cans,1,0.0218,0.0,0.0
recycling:glass_bottles,1,0.0218,0.0,0.0
recycling:plastic_bottles,1,0.0218,0.0,0.0
recycling_type,1,0.0218,0.0,0.0
service,1,0.0218,0.0,0.0
shop,1,0.0218,0.0,0.0
socket:type2,1,0.0218,0.0,0.0
stars,1,0.0218,0.0,0.0
